date,price,volume,change_rate
2023-10-26,34153.7,1933782493.9999998,-0.99
2023-10-25,34496.8,2615202408.0,1.71
2023-10-24,33917.0,5395516360.0,2.65
2023-10-23,33041.8,4409758628.0,10.2
2023-10-22,29984.2,871640694.0,0.24
2023-10-21,29912.9,1037379372.0,0.8
2023-10-20,29674.5,2453487660.0,3.31
2023-10-19,28723.0,1439022300.0,1.42
2023-10-18,28321.7,1274759717.0,-0.29
2023-10-17,28403.6,1517320312.0,-0.37
2023-10-16,28509.7,3397786046.0,4.96
2023-10-15,27161.2,596188340.0,1.15
2023-10-14,26852.8,364123968.0,-0.04
2023-10-13,26863.5,904225410.0,0.38
2023-10-12,26761.1,876426025.0,-0.43
2023-10-11,26876.6,1499176748.0,-1.88
2023-10-10,27391.0,940059120.0,-0.69
2023-10-09,27581.4,1235922534.0,-1.22
2023-10-08,27922.7,673216297.0,-0.14
2023-10-07,27961.1,483447419.0,0.09
2023-10-06,27936.9,1466966619.0,1.92
2023-10-05,27410.3,1268000478.0,-1.37
2023-10-04,27790.9,1137481537.0,1.32
2023-10-03,27428.4,1208495304.0,-0.28
2023-10-02,27505.3,2318696790.0,-1.68
2023-10-01,27974.5,982184695.0,3.75
2023-09-30,26962.7,473195385.0,0.2
2023-09-29,26909.8,1136669952.0,-0.42
2023-09-28,27022.6,1744579056.0,2.49
2023-09-27,26366.1,1339397880.0,0.56
2023-09-26,26218.9,692441149.0,-0.32
2023-09-25,26302.7,1004763140.0,0.2
2023-09-24,26251.5,585933480.0,-1.23
2023-09-23,26579.2,343403264.0,-0.01
2023-09-22,26581.9,765292901.0,0.04
2023-09-21,26570.0,1270311700.0,-2.05
2023-09-20,27125.0,1281113750.0,-0.31
2023-09-19,27209.2,1419503964.0,1.67
2023-09-18,26763.5,1695467725.0,0.88
2023-09-17,26529.1,439587187.0,-0.12
2023-09-16,26562.0,490068900.0,-0.15
2023-09-15,26601.0,970138470.0,0.29
2023-09-14,26524.7,1427559354.0,1.15
2023-09-13,26223.0,1116575340.0,1.5
2023-09-12,25834.5,2033433495.0,2.65
2023-09-11,25166.4,1417371648.0,-2.61
2023-09-10,25840.2,609828720.0,-0.24
2023-09-09,25901.1,349146828.0,-0.03
2023-09-08,25909.5,1062548595.0,-1.3
2023-09-07,26249.8,1043954546.0,1.91
2023-09-06,25758.0,973137240.0,-0.13
2023-09-05,25790.2,732441680.0,-0.13
2023-09-04,25823.3,700586129.0,-0.57
2023-09-03,25971.0,554740560.0,0.39
2023-09-02,25869.7,549472428.0,0.26
2023-09-01,25803.2,1498649856.0,-0.52
2023-08-31,25937.3,1792526803.0,-4.99
2023-08-30,27298.8,1270486152.0,-1.53
2023-08-29,27723.9,2725813848.0,6.14
2023-08-28,26118.9,753269076.0,0.07
2023-08-27,26100.6,372977574.0,0.32
2023-08-26,26017.1,314546739.0,-0.15
2023-08-25,26057.2,1041245712.0,-0.46
2023-08-24,26177.0,1074304080.0,-0.98
